agapantus(7000)
aromaticas(2x3000)
cola de burro(8000)no hay
colgantes(8000)
gazaña gigante(1700)no hay
helecho arroz(2000) 
limonero 4. 30 mil. 1 metro   
manto de virgen(8000)
manto de virgen
ojo de poeta(6000)no hay 
rosario(8000)
rudas(1500)
trepadores santa rita(8000)
geraneos(4000)no hy
violeta de los alpes(10000)
suculentas(2000)
rosa china (8000)
huerta(3000)
gomero(50000) 1 metro 30
Dietes 7000
Jazmin Kimura cuatro estacion 8000
Evonimus 5000. Verde
Evonimus amarillo 8000
Jazmin de leche 9000
Lantana 7000
Pindo 60000
Buxus 40000
Laurel de jardín. 7000
Ficus 23 mil
Marginata 60000
Potus n14 7000
Strelizia reginae 42000
palo de agua grande 70000
Enamorada del muro 2500
tierra abonada los gallegos 5000
humus los gallegos 7000
turba 2000
perlita 2000
alquimia natural vamp 7700
melaza blackstrap 6700
flora booster 6900
top crop top veg 7900
mosca blanca 5600
jabon potasico 4500
Nitrofull 500gms 3000
Sulfato de hierro 500 g 2700
Urea 2500
Myrmec hormiga 200g4500
myrmec hormiga 2 500 g 8300
Guesa sistémico 8000
Glacoxan d-sist acaricida 7000
Glacoxan hormiguicida 5600
Mamboreta hongos 7500
Fungoxan fungicida sistemico 7600
Glacoxan ciper insecticida 8600
Myrmec caracoles 3300
myrmec babosas 3300
mamboreta aba 14400
aceite grhesa ec cochinilla 6200
Hormona en polvo Japón fértil 9400
Polvo bordeles fungicida 5000
Veneno hormiguicida-insecticida 5750
Fertifox activador del follaje 8100
Fertifox activador de la floración 8100
Senderil herbicida total 7500
Malvon doble 4000
Alegria del hogar 3x4000
Rayito de sol 3x4000
Petunia 3x4000
Gazaña 3x4000
Copetito 3x4000
Bignonia 8000
Salvia de jardín 7000
Lantana 7000
suculentas 2000
cactus 4000
bignonia naranja 7000
tecoma 8000
duranta chocolate 8000
evonimus 8000
eugenia arbolito 40000
cesped ingles 6000
solanum 8000
dracena 12000
ruelia 7000
lavanda grande 8000
dietes 7000
teucrium 7000
duranta aurea 8000
arreglo de suculentas 10000
potus colgante 20000
costilla de adan 18000
palo de agua mediano 15000
nido de pajaro 25000
helecho piedra 7000
begonia dragon 5000
marginata 15000
marginata grande 50000
sanseviera 9000
penisetum 7000
dimorfoteca 2500
laurel de jardin por cerco 7000
mala madre 10000
potus con tutor 23000
rubra 26000
dolar 8000
raphi 60000
calathea macuyana 30000
gomero variegado 33000
budleja 7000
salvia gregi 7000
cesped de invierno 11000
colgante mariquita 21000
bebedero de pajaros 24000
colgante decoracion pajaro 21000
aphelandra 18000
chamaedorea elegans 42000
dieffenbachia tropic 20000
philopendron 30000
sanseviera 9000
dieffenbachia 20000
helecho 18000
pensamiento 3x4000
mini pensamiento 3x4000
jazmin del cielo 8000

macetas
cemento
Cubo 35x35 16000
Jardinera 100x20 22000
Cubo 40x40 20000
Cilindro 30x60 29000
Gota 35x48 29000
Jardinera 80x20 180000
Macetas decorativa grande marrón y gris 58x58 25000
Macetas decorativa chica marrón 40x31 20000
Jardinera 60x20 15000
prisma 60x30 20000
Cubo 30x30 14000
maceta de cemento 10000
jardinera 80x30 24000
cono moderno 35x55 29000

plastico
maceta n21. 1800
maceta N24. 5300
maceta n35. 7700
Maceta facetada n24 7100
Maceta olvia n 24. 6200
Maceta colgante de coco. 24 cm de diametro. 19000
Macetas plástica premium n27. 10900
Maceta plastica facetada n29 10900
